time,counts
22.0215,2
22.0703,2
22.1191,4
22.1680,2
22.2168,0
22.2656,1
22.3145,0
22.3633,3
22.4121,4
22.4609,1
22.5098,1
22.5586,2
22.6074,0
22.6563,1
22.7051,2
22.7539,2
22.8027,1
22.8516,2
22.9004,1
22.9492,1
22.9980,3
23.0469,1
23.0957,1
23.1445,1
23.1934,3
23.2422,2
23.2910,0
23.3398,3
23.3887,1
23.4375,1
23.4863,1
23.5352,0
23.5840,4
23.6328,1
23.6816,1
23.7305,2
23.7793,2
23.8281,2
23.8770,3
23.9258,4
23.9746,1
24.0234,1
24.0723,3
24.1211,1
24.1699,2
24.2188,1
24.2676,2
24.3164,1
24.3652,0
24.4141,1
24.4629,4
24.5117,3
24.5605,2
24.6094,3
24.6582,2
24.7070,1
24.7559,1
24.8047,3
24.8535,1
24.9023,2
24.9512,1
25.0000,4
25.0488,2
25.0977,1
25.1465,1
25.1953,1
25.2441,2
25.2930,2
25.3418,0
25.3906,1
25.4395,2
25.4883,0
25.5371,0
25.5859,1
25.6348,2
25.6836,1
25.7324,2
25.7813,2
25.8301,0
25.8789,3
25.9277,0
25.9766,1
26.0254,2
26.0742,1
26.1230,0
26.1719,2
26.2207,5
26.2695,2
26.3184,1
26.3672,2
26.4160,2
26.4648,1
26.5137,2
26.5625,0
26.6113,1
26.6602,3
26.7090,1
26.7578,1
26.8066,2
26.8555,2
26.9043,2
26.9531,1
27.0020,3
27.0508,0
27.0996,1
27.1484,1
27.1973,1
27.2461,0
27.2949,0
27.3438,1
27.3926,1
27.4414,4
27.4902,6
27.5391,2
27.5879,3
27.6367,2
27.6855,3
27.7344,2
27.7832,1
27.8320,1
27.8809,1
27.9297,2
27.9785,2
28.0273,2
28.0762,2
28.1250,3
28.1738,3
28.2227,3
28.2715,1
28.3203,0
28.3691,2
28.4180,4
28.4668,4
28.5156,3
28.5645,3
28.6133,1
28.6621,0
28.7109,4
28.7598,3
28.8086,1
28.8574,1
28.9063,3
28.9551,1
29.0039,4
29.0527,1
29.1016,0
29.1504,1
29.1992,0
29.2480,1
29.2969,2
29.3457,2
29.3945,1
29.4434,2
29.4922,2
29.5410,2
29.5898,3
29.6387,2
29.6875,3
29.7363,1
29.7852,2
29.8340,1
29.8828,1
29.9316,2
29.9805,1
30.0293,1
30.0781,2
30.1270,1
30.1758,1
30.2246,3
30.2734,2
30.3223,1
30.3711,0
30.4199,1
30.4688,4
30.5176,4
30.5664,3
30.6152,8
30.6641,5
30.7129,3
30.7617,0
