time,counts
0.0000,2
0.0488,2
0.0977,2
0.1465,3
0.1953,4
0.2441,2
0.2930,1
0.3418,5
0.3906,2
0.4395,2
0.4883,1
0.5371,5
0.5859,1
0.6348,2
0.6836,2
0.7324,3
0.7813,4
0.8301,1
0.8789,1
0.9277,1
0.9766,3
1.0254,2
1.0742,5
1.1230,1
1.1719,1
1.2207,1
1.2695,1
1.3184,4
1.3672,1
1.4160,2
1.4648,6
1.5137,2
1.5625,1
1.6113,5
1.6602,1
1.7090,2
1.7578,1
1.8066,1
1.8555,2
1.9043,4
1.9531,1
2.0020,4
2.0508,3
2.0996,1
2.1484,4
2.1973,1
2.2461,4
2.2949,2
2.3438,3
2.3926,3
2.4414,7
2.4902,13
2.5391,33
2.5879,57
2.6367,85
2.6855,138
2.7344,257
2.7832,644
2.8320,2202
2.8809,5968
2.9297,11550
2.9785,15109
3.0273,15694
3.0762,14053
3.1250,12632
3.1738,11885
3.2227,11092
3.2715,10882
3.3203,10471
3.3691,10267
3.4180,9741
3.4668,9789
3.5156,9282
3.5645,8974
3.6133,8760
3.6621,8644
3.7109,8580
3.7598,8216
3.8086,8163
3.8574,7994
3.9063,7957
3.9551,7832
4.0039,7679
4.0527,7486
4.1016,7416
4.1504,7281
4.1992,6993
4.2480,6902
4.2969,7114
4.3457,6606
4.3945,6531
4.4434,6471
4.4922,6243
4.5410,6211
4.5898,5991
4.6387,5930
4.6875,5934
4.7363,5939
4.7852,5590
4.8340,5618
4.8828,5568
4.9316,5561
4.9805,5397
5.0293,5212
5.0781,5109
5.1270,5165
5.1758,5122
5.2246,4948
5.2734,4832
5.3223,4892
5.3711,4753
5.4199,4677
5.4688,4618
5.5176,4685
5.5664,4564
5.6152,4513
5.6641,4339
5.7129,4307
5.7617,4202
5.8105,4241
5.8594,4167
5.9082,4033
5.9570,4055
6.0059,4040
6.0547,3950
6.1035,3805
6.1523,3760
6.2012,3880
6.2500,3683
6.2988,3628
6.3477,3742
6.3965,3540
6.4453,3549
6.4941,3525
6.5430,3461
6.5918,3539
6.6406,3361
6.6895,3381
6.7383,3221
6.7871,3255
6.8359,3144
6.8848,3158
6.9336,3249
6.9824,3011
7.0313,3110
7.0801,2822
7.1289,3033
7.1777,2862
7.2266,2915
7.2754,2863
7.3242,2873
7.3730,2731
7.4219,2776
7.4707,2647
7.5195,2738
7.5684,2738
7.6172,2611
7.6660,2590
7.7148,2424
7.7637,2407
7.8125,2500
7.8613,2452
7.9102,2488
7.9590,2449
8.0078,2352
8.0566,2342
8.1055,2283
8.1543,2216
8.2031,2373
8.2520,2243
8.3008,2137
8.3496,2185
8.3984,2181
8.4473,2099
8.4961,2116
8.5449,2097
8.5938,1919
8.6426,1999
8.6914,1979
8.7402,1947
8.7891,1973
8.8379,1879
8.8867,1909
8.9355,1823
8.9844,1812
9.0332,1931
9.0820,1738
9.1309,1781
9.1797,1736
9.2285,1793
9.2773,1752
9.3262,1666
9.3750,1726
9.4238,1590
9.4727,1605
9.5215,1672
9.5703,1615
9.6191,1534
9.6680,1552
9.7168,1545
9.7656,1459
9.8145,1573
9.8633,1521
9.9121,1466
9.9609,1427
10.0098,1346
10.0586,1373
10.1074,1439
10.1563,1405
10.2051,1380
10.2539,1291
10.3027,1311
10.3516,1368
10.4004,1257
10.4492,1345
10.4980,1195
10.5469,1241
10.5957,1247
10.6445,1197
10.6934,1234
10.7422,1109
10.7910,1182
10.8398,1186
10.8887,1181
